ARTIST_NAME,ALBUM_NAME,TRACK_NAME
"Warren G","I Want It All","Intro"
"Makaveli","The 7 Day Theory","Just Like Daddy"
"Cypress Hill","Cypress x Rusko EP (Spotify Exclusive)","Lez Go"
"Eazy-E","It's On (Dr. Dre) 187um Killa","Down 2 Tha Last Roach"
"N.W.A.","Straight Outta Compton","Express Yourself"
"Dr. Dre","2001","The Watcher"
"N.W.A.","EFIL4ZAGGIN","Alwayz Into Somethin'"
"Ice Cube","War & Peace Vol. 1 (The War Disc)","Pushin' Weight - Feat. Mr. Short Khop"
"G-Unit","Beg For Mercy","Gangsta **** - Album Version (Edited)"
"Tha Dogg Pound","Cali Iz Active","Sittin' On 23's"
"Styles P","Master Of Ceremonies","Uh-Ohh feat. Sheek Louch"
"2Pac","Nu-mixx Klazzics","Heartz Of Men"
"Spice 1, MC Eiht","Keep It Gangsta (Collector's Edition)","The Bossilini"
"Ice Cube","I Am The West","Soul On Ice"
"Young Maylay","San Andreas Original Mixtape","Untitled"
"N.W.A.","Straight Outta Compton (2002 - Remaster)","I Ain't Tha 1"
"Ice Cube","Laugh Now, Cry Later","The Game Lord"
"The Notorious B.I.G.","Duets: The Final Chapter","My Dad - Interlude"
"Ja Rule","Exodus","Exodus (Intro) - Album Version (Edited)"
"50 Cent","Get Rich Or Die Tryin","21 Questions - Album Version (Edited)"
"DJ Quik","Under Tha Influence","Come 2Nyte"
"Ice Cube","The Predator (World)","The First Day Of School - Intro;"
"Xzibit","Weapons of Mass Destruction (Explicit)","Hey Now - Mean Muggin - Xplicit Album Version"
"Guerilla Black","Guerilla City","Sunrise"
"Westside Connection","Bow Down","The Pledge (Insert)"
"Westside Connection","Terrorist Threats","Terrorist Threats"
"Westside Connection","Bow Down","Cross 'Em Out And Put A 'K"
"Public Enemy","Remix of a Nation","Hannibal Lecture - Krush Groove Remix"
"Terror Squad","True Story","Let Them Things Go"
"Nate Dogg","G-Funk Mix","Just Another Day"
